Year,Population,Season,Line#,Treatment,TechRep,Load (log[count/mL])
2012,MA,Spring,3,PR,1,2.582729342
2012,VA,Spring,16,PR,2,2.5648684
2014,MA,Spring,7,PR,2,2.55889787
2012,PA,Spring,19,PR,2,2.557673636
2012,PA,Spring,3,PR,2,2.55643896
2012,MA,Spring,1,PR,1,2.540738008
2012,PA,Spring,14,PR,1,2.536886721
2012,VA,Spring,3,PR,2,2.536175345
2012,PA,Spring,13,PR,2,2.532930169
2014,MA,Spring,15,PR,3,2.5299832
2012,MA,Spring,10,PR,2,2.526594532
2012,MA,Spring,7,PR,3,2.526594532
2012,VA,Spring,13,PR,1,2.526594532
2012,VA,Spring,18,PR,2,2.5258306
2012,VA,Spring,4,PR,1,2.522342122
2012,VA,Spring,8,PR,1,2.521555355
2012,PA,Spring,17,PR,1,2.517961009
2012,VA,Spring,1,PR,3,2.512606365
2014,MA,Spring,16,PR,1,2.511342035
2012,PA,Spring,13,PR,3,2.509209967
2012,VA,Spring,15,PR,7,2.505291281
2012,PA,Spring,3,PR,1,2.499436851
2012,VA,Spring,10,PR,1,2.497586796
2012,PA,Spring,16,PR,2,2.489940672
2012,PA,Spring,2,PR,2,2.489940672
2012,MA,Spring,19,PR,3,2.484948287
2014,PA,Spring,12,PR,2,2.481868068
2012,PA,Spring,7,PR,1,2.480303027
2012,PA,Spring,4,PR,2,2.467133514
2012,PA,Fall,25,PR,2,2.465399782
2012,VA,Fall,38,PR,3,2.461868758
2012,PA,Spring,13,PR,2,2.458249449
2012,PA,Spring,18,PR,2,2.457022621
2012,PA,Spring,7,PR,1,2.456405286
2012,PA,Spring,3,PR,3,2.455162662
2012,VA,Spring,14,PR,2,2.453909279
2014,PA,Spring,2,PR,2,2.449434954
2012,PA,Spring,14,PR,3,2.448784325
2012,PA,Spring,17,PR,2,2.448784325
2012,VA,Spring,1,PR,4,2.446814705
2014,MA,Fall,1,PR,1,2.111484584
2012,PA,Spring,9,PR,2,2.444146153
2012,PA,Spring,6,PR,2,2.441427485
2012,MA,Fall,24,PR,,2.441427485
2012,MA,Fall,27,PR,2,2.441427485
2012,VA,Spring,12,PR,2,2.440048762
2012,MA,Fall,26,PR,2,2.440048762
2012,MA,Spring,8,PR,1,2.439354445
2014,PA,Fall,11,PR,1,2.439354445
2012,MA,Fall,27,PR,5,2.43795574
2012,PA,Spring,10,PR,1,2.436543389
2012,PA,Fall,38,PR,2,2.435117123
2012,MA,Fall,38,PR,1,2.430752024
2012,PA,Spring,17,PR,2,2.430011537
2012,MA,Spring,19,PR,1,2.430011537
2012,PA,Spring,20,PR,2,2.428519103
2012,VA,Spring,9,PR,3,2.428519103
2012,PA,Spring,1,PR,2,2.428519103
2012,MA,Spring,18,PR,2,2.427011122
2012,PA,Spring,8,PR,2,2.425487268
2012,VA,Spring,14,PR,1,2.423947202
2012,PA,Spring,18,PR,2,2.422390576
2012,MA,Fall,29,PR,1,2.42081703
2012,PA,Spring,18,PR,2,2.420023796
2012,MA,Spring,2,PR,2,2.416806667
2012,PA,Spring,12,PR,2,2.416806667
2012,PA,Spring,6,PR,2,2.416806667
2012,PA,Spring,7,PR,3,2.416806667
2012,VA,Fall,27,PR,3,2.416806667
2012,PA,Spring,3,PR,2,2.415170889
2012,PA,Spring,3,PR,3,2.415170889
2012,MA,Fall,40,PR,3,2.415170889
2012,MA,Spring,16,PR,2,2.413516416
2014,MA,Spring,19,PR,3,2.41014964
2012,VA,Fall,33,PR,1,2.408436427
2012,VA,Spring,11,PR,2,2.407572157
2012,MA,Spring,20,PR,2,2.405827981
2012,VA,Spring,17,PR,1,2.405827981
2012,MA,Spring,2,PR,2,2.400465708
2014,PA,Spring,17,PR,1,2.400465708
2014,PA,Fall,6,PR,1,2.400465708
2012,MA,Fall,21,PR,3,2.398633217
2012,MA,Spring,12,PR,2,2.396777233
2012,VA,Spring,1,PR,2,2.396777233
2012,MA,Fall,28,PR,1,2.396777233
2012,MA,Spring,12,PR,1,2.39584024
2012,PA,Spring,16,PR,3,2.393947863
2012,PA,Spring,16,PR,3,2.393947863
2014,VA,Spring,2,PR,1,2.39203042
2012,MA,Fall,23,PR,2,2.390087238
2012,VA,Spring,12,PR,1,2.388117619
2012,VA,Spring,18,PR,2,2.387122667
2012,VA,Spring,4,PR,1,2.386120831
2012,PA,Spring,2,PR,3,2.386120831
2012,MA,Spring,14,PR,2,2.383073038
2012,PA,Spring,2,PR,1,2.382042679
2012,PA,Spring,1,PR,2,2.381004933
2012,MA,Spring,15,PR,1,2.378906856
2012,MA,Spring,6,PR,1,2.378906856
2012,VA,Fall,39,PR,4,2.378906856
2012,PA,Spring,2,PR,2,2.376777923
2014,PA,Spring,9,PR,1,2.376777923
2012,VA,Spring,6,PR,3,2.374617214
2012,PA,Spring,16,PR,2,2.373524644
2012,VA,Fall,31,PR,3,2.372423765
2012,MA,Fall,27,PR,1,2.372423765
2014,VA,Spring,17,PR,1,2.372423765
2014,PA,Spring,10,PR,1,2.372423765
2012,MA,Spring,14,PR,3,2.371314451
2012,MA,Spring,5,PR,2,2.371314451
2012,MA,Fall,39,PR,3,2.37019657
2014,MA,Spring,18,PR,2,2.37019657
2014,MA,Spring,19,PR,1,2.367934574
2014,PA,Spring,7,PR,1,2.367934574
2012,VA,Spring,18,PR,3,2.366790182
2012,VA,Spring,5,PR,2,2.366790182
2014,VA,Spring,8,PR,3,2.365636671
2014,MA,Spring,2,PR,1,2.363301704
2012,MA,Spring,12,PR,3,2.362119944
2014,PA,Spring,14,PR,1,2.362119944
2012,PA,Fall,32,PR,1,2.359727082
2012,MA,Spring,1,PR,1,2.358515654
2014,VA,Spring,17,PR,3,2.357294002
2012,PA,Spring,11,PR,2,2.356061954
2012,PA,Spring,18,PR,1,2.356061954
2012,PA,Spring,20,PR,3,2.356061954
2012,MA,Spring,1,PR,3,2.35481933
2014,PA,Spring,9,PR,3,2.35481933
2014,VA,Fall,13,PR,2,2.35481933
2012,MA,Spring,4,PR,2,2.353565947
2012,MA,Fall,27,PR,4,2.352301617
2014,MA,Spring,14,PR,3,2.352301617
2014,MA,Spring,19,PR,1,2.352301617
2012,PA,Spring,15,PR,2,2.351026148
2014,PA,Spring,8,PR,2,2.349739341
2012,MA,Fall,25,PR,1,2.347130895
2014,VA,Spring,2?,PR,1,2.347130895
2012,VA,Spring,15,PR,2,2.344474585
2012,VA,Spring,20,PR,1,2.344474585
2012,MA,Spring,2,PR,2,2.341768622
2012,PA,Spring,4,PR,1,2.341768622
2014,MA,Spring,19,PR,2,2.340396433
2014,PA,Spring,18,PR,1,2.340396433
2012,MA,Spring,7,PR,1,2.339011113
2012,PA,Fall,40,PR,2,2.337612408
2012,VA,Spring,14,PR,1,2.336200057
2012,PA,Spring,14,PR,3,2.333333333
2014,PA,Spring,19,PR,1,2.332024551
2012,PA,Spring,11,PR,1,2.329370947
2012,MA,Fall,23,PR,1,2.326516125
2012,MA,Spring,3,PR,1,2.325143936
2012,PA,Spring,5,PR,1,2.325143936
2012,VA,Spring,7,PR,2,2.32360387
2012,MA,Spring,10,PR,1,2.322359911
2012,PA,Spring,16,PR,1,2.322359911
2012,VA,Spring,6,PR,2,2.322359911
2012,MA,Spring,9,PR,2,2.320631825
2012,MA,Spring,18,PR,1,2.31936195
2012,MA,Fall,22,PR,1,2.317758779
2014,PA,Spring,16,PR,1,2.316788285
2012,PA,Spring,12,PR,3,2.316463336
2012,MA,Fall,39,PR,1,2.314662958
2012,MA,Spring,4,PR,3,2.313339385
2012,MA,Spring,6,PR,1,2.310316344
2012,VA,Spring,20,PR,2,2.310316344
2014,PA,Spring,21,PR,3,2.308437364
2014,MA,Spring,15,PR,1,2.308093095
2012,VA,Spring,12,PR,3,2.305133278
2012,MA,Spring,19,PR,1,2.30389672
2012,VA,Spring,14,PR,2,2.30389672
